"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias","mean_contraction"
"dense_profiles","one_step_gamma_poisson","growth",30,1,0.0633610212376164,0.247057257742866,0.286325910129218,0.628810726494723,0.893548616930823
"rich_design","one_step_gamma_poisson","growth",30,0.433333333333333,-0.540673072995813,2.26106033287349,0.322856131766196,3.18419274206736,0.902113070594788
"standard","one_step_gamma_poisson","growth",27,0.703703703703704,0.0586452229236979,0.600936821809203,0.56576830361796,1.77796753931431,0.82143651444609
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","growth",30,1,0.0631457342804323,0.253113313124911,0.290936614195219,0.623403045082189,0.892289225059987
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","growth",30,0.466666666666667,-0.101343879082874,0.705189561351595,0.274171982629979,2.93519024638656,0.914070147015547
"standard","one_step_gamma_poisson_fixed_recruitment_slope","growth",30,0.633333333333333,-0.0902440829390115,0.953475848248352,0.669841860464106,1.8044200559954,0.797265287613696
"dense_profiles","one_step_gamma_poisson_shape_informed","growth",30,1,0.0587545125617496,0.246820370374292,0.284390206160766,0.630547694405029,0.893739386188065
"rich_design","one_step_gamma_poisson_shape_informed","growth",30,0.5,-0.0807303032543597,0.654110420605234,0.2697729442554,2.76250728452054,0.914900588104162
"standard","one_step_gamma_poisson_shape_informed","growth",30,0.7,-0.0419707309557711,0.830849033451329,0.635096985971915,1.71661098449977,0.804767882645002
"dense_profiles","one_step_shared_gamma_poisson","growth",30,0.966666666666667,0.0555737422702556,0.22450444215267,0.276378684456999,0.657206741506053,0.897358007061608
"rich_design","one_step_shared_gamma_poisson","growth",30,0.333333333333333,-0.117764297971331,0.755994098814119,0.238899804872492,3.32278035570211,0.92350752350371
"standard","one_step_shared_gamma_poisson","growth",30,0.633333333333333,-0.0369122098156393,0.798407467029359,0.513337126052033,2.15524918743982,0.834964103680458
"dense_profiles","recursive_gamma_poisson","growth",30,0.933333333333333,0.0426997596121391,0.212003557988139,0.236948570799886,0.801338128150721,0.905709677997635
"rich_design","recursive_gamma_poisson","growth",30,0.966666666666667,0.00213590511536477,0.201859178900354,0.171387138287495,0.851105637725266,0.932406554739947
"standard","recursive_gamma_poisson","growth",27,0.814814814814815,-0.0265246843511885,0.643977570130073,0.405172555529187,1.92801887076228,0.854768967839783
"dense_profiles","one_step_gamma_poisson","process",10,NA,NA,NA,0.620378802575641,NA,0.689810598712179
"rich_design","one_step_gamma_poisson","process",10,NA,NA,NA,0.194908150534198,NA,0.902545924732901
"standard","one_step_gamma_poisson","process",9,NA,NA,NA,0.588425847288643,NA,0.705787076355679
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","process",10,NA,NA,NA,0.538441008986422,NA,0.730779495506789
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","process",10,NA,NA,NA,0.190332761356293,NA,0.904833619321853
"standard","one_step_gamma_poisson_fixed_recruitment_slope","process",10,NA,NA,NA,0.465254999680519,NA,0.76737250015974
"dense_profiles","one_step_gamma_poisson_shape_informed","process",10,NA,NA,NA,0.6018526378716,NA,0.6990736810642
"rich_design","one_step_gamma_poisson_shape_informed","process",10,NA,NA,NA,0.198716788871546,NA,0.900641605564227
"standard","one_step_gamma_poisson_shape_informed","process",10,NA,NA,NA,0.56059006084469,NA,0.719704969577655
"dense_profiles","one_step_shared_gamma_poisson","process",10,NA,NA,NA,0.737496134865015,NA,0.631251932567493
"rich_design","one_step_shared_gamma_poisson","process",10,NA,NA,NA,0.304538310902412,NA,0.847730844548794
"standard","one_step_shared_gamma_poisson","process",10,NA,NA,NA,0.611112322689746,NA,0.694443838655127
"dense_profiles","recursive_gamma_poisson","process",10,NA,NA,NA,0.477207642254015,NA,0.761396178872993
"rich_design","recursive_gamma_poisson","process",10,NA,NA,NA,0.196537500163453,NA,0.901731249918274
"standard","recursive_gamma_poisson","process",9,NA,NA,NA,0.761493700765673,NA,0.619253149617163
"dense_profiles","one_step_gamma_poisson","recruit_size",30,1,0.0546250109575555,0.278081872157067,0.315622227126183,0.626186599299615,0.910869396710991
"rich_design","one_step_gamma_poisson","recruit_size",30,0.966666666666667,0.00217998718359398,0.214171032925481,0.255451702887946,0.800679527223928,0.928640900551381
"standard","one_step_gamma_poisson","recruit_size",27,0.851851851851852,0.190831478478467,0.855872270577454,0.72737185157726,0.975913696050751,0.790423415473382
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","recruit_size",30,1,0.0249487699566757,0.210398497374433,0.333948578746806,0.464369714796533,0.908107855098233
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","recruit_size",30,0.9,-0.0445187591961491,0.202531471470134,0.258942062128813,0.694591069766643,0.928735222512292
"standard","one_step_gamma_poisson_fixed_recruitment_slope","recruit_size",30,0.933333333333333,0.0466370435958166,0.688896788493755,0.575876818215536,0.85555553028572,0.832658368169552
"dense_profiles","one_step_gamma_poisson_shape_informed","recruit_size",30,1,0.0505447230657159,0.261869877755737,0.321414552808786,0.581791928157132,0.910419774357066
"rich_design","one_step_gamma_poisson_shape_informed","recruit_size",30,0.966666666666667,-0.000445084060909889,0.195492429124187,0.252584740981422,0.715953577318691,0.929269555618409
"standard","one_step_gamma_poisson_shape_informed","recruit_size",30,0.9,0.0728859905360417,0.712161569832286,0.533871370981329,0.887244572845654,0.839326701022957
"dense_profiles","one_step_shared_gamma_poisson","recruit_size",30,0.966666666666667,0.0508983407548986,0.304816505038628,0.281620672622305,0.729779287375256,0.92094649616222
"rich_design","one_step_shared_gamma_poisson","recruit_size",30,0.9,0.00384720483827214,0.217141112702994,0.19221542329115,0.990275220854137,0.946171086991641
"standard","one_step_shared_gamma_poisson","recruit_size",30,0.833333333333333,0.115056056556266,0.76020617362911,0.442196708547273,1.11426568643362,0.861407538133149
"dense_profiles","recursive_gamma_poisson","recruit_size",30,0.966666666666667,0.0629455567792428,0.268486416044986,0.355615743393939,0.579937056684987,0.901398974143942
"rich_design","recursive_gamma_poisson","recruit_size",30,0.966666666666667,0.0613143056058475,0.262547823913324,0.269195950897734,0.769137166817453,0.927790308599546
"standard","recursive_gamma_poisson","recruit_size",27,0.851851851851852,0.0593600968158145,0.897352711804049,0.559706011968173,1.11397016156721,0.83929413423729
"dense_profiles","one_step_gamma_poisson","recruitment",20,0.45,0.040077990367388,0.272711449527344,0.117379372083775,2.04158804492415,0.907551683785105
"rich_design","one_step_gamma_poisson","recruitment",20,0.55,0.027925981640287,0.228611634992999,0.110786263518548,1.8073184255253,0.913635391833564
"standard","one_step_gamma_poisson","recruitment",18,0.722222222222222,-0.224461212263087,0.81357054190393,0.329366138347837,1.53497155615355,0.738070102966556
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","recruitment",20,0.85,0.00857550251747454,0.0671454453506663,0.0167762144648058,2.00686523481306,0.977631714046926
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","recruitment",20,0.7,-0.0305365647829228,0.0665644480439371,0.0187037967827423,2.24448044627773,0.975061604289677
"standard","one_step_gamma_poisson_fixed_recruitment_slope","recruitment",20,0.9,-0.0173608560725479,0.0770278784306319,0.0425054134246942,1.03205167455292,0.943326115433741
"dense_profiles","one_step_gamma_poisson_shape_informed","recruitment",20,0.55,0.036267308505078,0.229185800569361,0.108968210311242,1.81365180212427,0.758023524942642
"rich_design","one_step_gamma_poisson_shape_informed","recruitment",20,0.55,0.0236099517725896,0.197104292986856,0.102737605530926,1.64267484576305,0.782313828023065
"standard","one_step_gamma_poisson_shape_informed","recruitment",20,0.7,0.0439728475860234,0.309368247599532,0.179252529235367,1.44636395135406,0.596695055663417
"dense_profiles","one_step_shared_gamma_poisson","recruitment",20,0.45,0.042366061840437,0.279403607273594,0.110875669996022,2.25865296980892,0.912690416191509
"rich_design","one_step_shared_gamma_poisson","recruitment",20,0.5,0.0300040853699397,0.227049458748149,0.0966380513179736,2.0264609786202,0.924725643869306
"standard","one_step_shared_gamma_poisson","recruitment",20,0.6,0.0433803427858312,0.536703564804544,0.215165509401523,2.12726144343599,0.825922311750328
"dense_profiles","recursive_gamma_poisson","recruitment",20,0.6,0.0260717253555154,0.282207230832064,0.139298899792185,1.81792447581959,0.889649808555345
"rich_design","recursive_gamma_poisson","recruitment",20,0.5,0.0135351862140532,0.280317177837547,0.109219417649731,2.32969869727053,0.914223973932287
"standard","recursive_gamma_poisson","recruitment",18,0.666666666666667,-0.000312124949621576,0.47293484977236,0.22501401685238,1.61141372672063,0.821658869580548
"dense_profiles","one_step_gamma_poisson","survival",20,1,-0.00167407904406936,0.0456030640228775,0.0739841434438548,0.547010119191459,0.940225886175395
"rich_design","one_step_gamma_poisson","survival",20,0.8,0.0448039190216689,0.157008188124404,0.070763415944301,1.40865358074323,0.94307189224718
"standard","one_step_gamma_poisson","survival",18,1,-0.00278385392143437,0.0871824362948345,0.148707677256288,0.500120405270811,0.879985148477973
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","survival",20,1,-0.00235718084351961,0.0463438739109692,0.07497831717293,0.529959330324387,0.939410036775566
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","survival",20,0.8,0.0149320589048869,0.0978775332280381,0.0691513527208672,1.24311484954983,0.944801016561758
"standard","one_step_gamma_poisson_fixed_recruitment_slope","survival",20,1,0.0171425659936552,0.123947948187839,0.162521158809483,0.545253216933727,0.869333126477254
"dense_profiles","one_step_gamma_poisson_shape_informed","survival",20,1,-0.000923875522874724,0.0439772269415592,0.0738549735773016,0.532140072454792,0.940414136886372
"rich_design","one_step_gamma_poisson_shape_informed","survival",20,0.8,0.00977927894156549,0.0905554864710884,0.0678898452359982,1.18920754890029,0.945826012783282
"standard","one_step_gamma_poisson_shape_informed","survival",20,1,0.00720386071811067,0.104756683161414,0.15692913616562,0.535745318427958,0.873474704790466
"dense_profiles","one_step_shared_gamma_poisson","survival",20,1,0.00721594109431748,0.0562944201162425,0.0821516814841427,0.574022912479858,0.934767894490663
"rich_design","one_step_shared_gamma_poisson","survival",20,1,0.0284166591771411,0.0906601895093251,0.0796229223279575,0.952397466770113,0.937598760516063
"standard","one_step_shared_gamma_poisson","survival",20,1,0.0410342658789278,0.100100468209095,0.1796914282879,0.384592104730458,0.857476272874214
"dense_profiles","recursive_gamma_poisson","survival",20,0.95,0.00296631456462344,0.0407460119775225,0.0439546199267359,0.77310526096613,0.964203108289269
"rich_design","recursive_gamma_poisson","survival",20,0.95,0.0210346133327015,0.0383714720354614,0.0321162018961211,0.999359483691005,0.974028986523544
"standard","recursive_gamma_poisson","survival",18,0.944444444444444,0.00946497400941813,0.07382068935772,0.0843749420490188,0.63257271748506,0.931335978236955
