"scenario","populations","transitions","initial_n","profile_detection","initial_design","replicate","task_id"
"standard",3,4,500,0.25,"baseline",1,1
"dense_profiles",3,4,500,1,"baseline",1,2
"rich_design",6,6,500,0.5,"baseline",1,3
"standard",3,4,500,0.25,"baseline",2,4
"dense_profiles",3,4,500,1,"baseline",2,5
"rich_design",6,6,500,0.5,"baseline",2,6
"standard",3,4,500,0.25,"baseline",3,7
"dense_profiles",3,4,500,1,"baseline",3,8
"rich_design",6,6,500,0.5,"baseline",3,9
"standard",3,4,500,0.25,"baseline",4,10
"dense_profiles",3,4,500,1,"baseline",4,11
"rich_design",6,6,500,0.5,"baseline",4,12
"standard",3,4,500,0.25,"baseline",5,13
"dense_profiles",3,4,500,1,"baseline",5,14
"rich_design",6,6,500,0.5,"baseline",5,15
"standard",3,4,500,0.25,"baseline",6,16
"dense_profiles",3,4,500,1,"baseline",6,17
"rich_design",6,6,500,0.5,"baseline",6,18
"standard",3,4,500,0.25,"baseline",7,19
"dense_profiles",3,4,500,1,"baseline",7,20
"rich_design",6,6,500,0.5,"baseline",7,21
"standard",3,4,500,0.25,"baseline",8,22
"dense_profiles",3,4,500,1,"baseline",8,23
"rich_design",6,6,500,0.5,"baseline",8,24
"standard",3,4,500,0.25,"baseline",9,25
"dense_profiles",3,4,500,1,"baseline",9,26
"rich_design",6,6,500,0.5,"baseline",9,27
"standard",3,4,500,0.25,"baseline",10,28
"dense_profiles",3,4,500,1,"baseline",10,29
"rich_design",6,6,500,0.5,"baseline",10,30
