"scenario","populations","transitions","initial_n","profile_detection","initial_design","replicate","task_id"
"standard",3,4,500,0.25,"baseline",1,1
"dense_profiles",3,4,500,1,"baseline",1,2
"longer_followup",3,8,500,0.25,"baseline",1,3
"diverse_initial",3,4,500,0.25,"diverse",1,4
"standard",3,4,500,0.25,"baseline",2,5
"dense_profiles",3,4,500,1,"baseline",2,6
"longer_followup",3,8,500,0.25,"baseline",2,7
"diverse_initial",3,4,500,0.25,"diverse",2,8
"standard",3,4,500,0.25,"baseline",3,9
"dense_profiles",3,4,500,1,"baseline",3,10
"longer_followup",3,8,500,0.25,"baseline",3,11
"diverse_initial",3,4,500,0.25,"diverse",3,12
"standard",3,4,500,0.25,"baseline",4,13
"dense_profiles",3,4,500,1,"baseline",4,14
"longer_followup",3,8,500,0.25,"baseline",4,15
"diverse_initial",3,4,500,0.25,"diverse",4,16
"standard",3,4,500,0.25,"baseline",5,17
"dense_profiles",3,4,500,1,"baseline",5,18
"longer_followup",3,8,500,0.25,"baseline",5,19
"diverse_initial",3,4,500,0.25,"diverse",5,20
"standard",3,4,500,0.25,"baseline",6,21
"dense_profiles",3,4,500,1,"baseline",6,22
"longer_followup",3,8,500,0.25,"baseline",6,23
"diverse_initial",3,4,500,0.25,"diverse",6,24
"standard",3,4,500,0.25,"baseline",7,25
"dense_profiles",3,4,500,1,"baseline",7,26
"longer_followup",3,8,500,0.25,"baseline",7,27
"diverse_initial",3,4,500,0.25,"diverse",7,28
"standard",3,4,500,0.25,"baseline",8,29
"dense_profiles",3,4,500,1,"baseline",8,30
"longer_followup",3,8,500,0.25,"baseline",8,31
"diverse_initial",3,4,500,0.25,"diverse",8,32
"standard",3,4,500,0.25,"baseline",9,33
"dense_profiles",3,4,500,1,"baseline",9,34
"longer_followup",3,8,500,0.25,"baseline",9,35
"diverse_initial",3,4,500,0.25,"diverse",9,36
"standard",3,4,500,0.25,"baseline",10,37
"dense_profiles",3,4,500,1,"baseline",10,38
"longer_followup",3,8,500,0.25,"baseline",10,39
"diverse_initial",3,4,500,0.25,"diverse",10,40
