"survival_at_80","survival_slope_20","growth_increment_80","growth_slope_20","log_growth_sd","log_recruitment_at_80","recruitment_slope_20","recruit_mean_80","recruit_mean_slope_20","log_recruit_sd","log_process_precision"
56,79,16,21,94,58,48,46,67,94,59
20,79,23,26,90,91,26,1,99,0,44
97,62,4,89,92,44,48,81,9,67,50
98,12,84,94,43,48,27,68,19,17,45
66,75,8,71,68,81,19,98,0,19,46
59,49,61,47,21,1,98,72,28,72,11
99,90,70,40,5,22,55,68,23,83,68
28,28,64,52,44,9,86,94,5,86,7
2,71,26,32,91,41,53,85,18,73,44
0,31,88,16,21,53,74,53,57,28,18
0,2,98,5,51,91,3,68,41,91,2
18,71,80,40,82,99,1,32,73,4,4
15,74,41,56,5,68,34,73,59,93,22
34,32,40,37,52,11,82,32,60,50,66
12,40,57,77,34,76,23,26,69,39,65
28,85,35,26,58,37,65,27,76,55,68
86,84,50,83,6,88,8,53,60,63,38
80,27,33,81,44,69,17,16,87,11,55
88,91,74,6,71,40,60,24,74,60,69
2,55,98,11,25,15,88,63,31,62,37
62,66,72,14,51,97,2,76,37,84,24
85,34,17,98,18,86,15,29,74,20,29
4,13,78,22,11,12,91,3,94,32,68
88,20,83,35,16,3,91,43,47,23,8
17,3,81,60,4,31,76,52,50,41,23
31,50,48,81,6,95,4,84,11,59,76
68,33,13,59,75,27,66,28,69,37,6
1,30,79,50,68,44,71,61,49,82,88
59,1,31,49,49,2,95,33,54,56,19
82,78,57,41,23,91,7,93,12,94,12
31,36,32,59,49,39,34,49,47,8,52
24,58,69,32,82,36,75,93,3,1,44
50,23,32,86,74,88,10,2,94,6,80
50,53,98,40,61,71,17,5,98,11,55
78,4,68,48,15,0,99,66,32,5,26
80,80,7,78,46,6,90,39,54,84,99
86,26,62,51,74,67,23,33,56,93,57
53,70,51,15,39,8,90,25,80,98,48
92,94,82,28,32,98,1,34,68,45,45
48,74,62,42,82,68,17,93,14,91,44
7,85,96,5,77,51,54,84,31,73,14
75,97,37,60,31,97,4,47,44,43,61
11,52,3,51,45,27,88,9,87,46,87
47,77,49,39,80,91,10,78,19,25,25
19,12,92,18,37,81,11,41,87,74,26
98,75,9,88,4,86,7,46,53,45,14
88,4,0,99,19,92,2,85,14,61,50
25,23,85,46,36,18,78,35,64,83,4
99,64,12,34,84,82,24,67,22,80,55
50,36,69,4,45,57,50,74,28,70,99
74,41,16,93,58,36,56,97,1,0,32
39,38,77,91,36,29,42,61,53,96,73
3,28,69,4,62,29,58,27,65,56,79
82,32,31,69,39,75,17,38,72,18,80
75,20,95,80,55,57,41,51,47,31,87
72,72,5,66,45,46,81,12,91,4,59
54,37,49,68,60,27,72,25,64,31,72
42,37,31,19,62,3,96,94,7,53,87
42,44,21,88,63,54,57,5,84,35,92
40,95,3,62,64,12,94,79,31,92,6
70,68,24,70,64,94,4,76,33,77,17
30,84,75,4,80,80,28,48,90,46,61
68,8,36,76,16,39,49,16,54,16,7
63,5,83,79,42,11,75,36,71,56,10
28,1,91,68,27,0,98,9,89,34,18
45,57,37,24,66,60,29,29,67,89,75
76,41,13,77,10,80,9,81,19,58,56
76,83,73,72,11,92,6,79,26,64,36
3,79,13,7,92,74,40,89,8,52,12
3,14,48,46,78,68,42,48,77,64,14
10,23,96,17,9,73,32,99,5,22,6
95,75,14,89,95,82,16,31,72,18,99
64,39,4,66,88,38,65,83,20,18,4
17,6,96,96,12,57,34,41,76,76,81
79,38,31,92,5,75,24,54,23,59,17
17,33,19,26,32,78,78,37,67,18,48
80,10,17,98,60,49,44,81,18,26,43
38,93,93,11,66,46,40,90,23,95,35
6,44,52,81,3,68,30,78,23,44,93
79,7,24,73,93,9,91,89,5,35,60
49,81,27,37,82,9,90,49,51,20,90
99,6,50,99,2,65,21,81,24,8,56
99,7,12,99,5,80,14,63,17,1,21
95,40,0,87,52,44,59,47,44,37,97
36,25,35,39,72,89,12,71,27,68,62
7,10,55,23,50,17,83,97,4,85,0
81,49,59,59,51,55,44,26,84,40,30
13,95,70,0,25,18,87,53,43,86,13
84,81,64,69,57,40,51,25,55,42,23
6,2,71,75,32,31,65,55,39,49,18
52,97,8,8,79,36,78,76,42,94,24
89,79,20,45,18,62,38,26,82,13,94
38,36,50,65,99,36,45,63,46,69,59
67,61,82,9,89,18,76,62,19,5,84
79,77,71,20,22,38,60,32,70,37,25
7,73,12,33,69,7,96,22,74,58,99
8,76,34,0,32,37,78,97,2,94,27
73,9,3,38,50,42,75,26,67,6,99
55,3,37,90,82,4,90,7,80,25,24
56,87,38,21,56,26,77,51,51,63,98
85,90,87,24,72,98,0,42,75,82,34
49,80,1,76,87,30,75,70,32,64,13
52,10,59,56,9,14,82,20,75,71,16
29,22,19,98,14,89,4,14,82,57,20
15,40,43,19,31,23,75,67,33,37,43
41,75,68,38,9,64,45,48,61,73,65
8,16,25,98,46,83,19,89,10,18,22
58,4,15,85,73,41,74,88,11,1,8
86,77,22,89,37,85,12,88,14,82,59
91,97,36,82,33,95,2,93,12,26,88
51,94,8,17,33,86,10,62,51,49,23
51,7,97,34,13,1,92,27,67,24,44
59,36,84,28,68,58,32,81,23,80,10
71,22,30,90,88,2,96,15,70,38,39
12,98,56,13,66,61,71,64,66,99,91
89,67,49,86,24,60,15,61,49,76,54
3,13,98,16,16,78,33,43,49,76,62
38,16,11,84,65,72,28,12,84,4,82
30,55,45,30,10,78,15,79,16,91,12
94,59,28,68,72,29,72,5,93,0,54
63,62,27,28,49,40,60,35,66,41,45
64,77,46,15,90,64,23,88,23,87,39
98,85,12,69,95,69,21,79,13,61,11
28,70,16,6,65,23,86,63,43,96,30
69,30,32,68,83,38,46,61,58,96,22
22,6,81,57,22,77,21,11,88,40,86
94,44,5,99,0,36,59,82,10,26,55
58,66,80,37,34,97,1,39,69,83,16
70,79,20,8,52,35,75,99,1,27,55
57,86,89,22,7,99,0,73,59,88,4
67,42,27,92,5,22,57,19,34,71,45
19,42,49,21,18,0,99,34,52,52,39
4,45,88,31,5,47,61,30,78,58,73
60,39,17,87,36,27,71,75,20,50,88
53,13,58,69,58,33,65,31,63,82,7
18,60,25,65,56,72,44,21,67,0,8
38,58,51,13,85,97,1,74,36,23,87
69,65,7,12,72,75,54,87,7,69,2
94,59,29,49,9,48,67,18,69,6,21
47,41,27,78,55,81,16,56,67,29,41
91,88,3,42,66,76,36,93,4,35,84
45,33,30,55,45,71,59,17,78,62,64
19,73,33,58,62,90,13,96,1,25,66
86,74,13,62,90,63,35,29,69,16,25
70,82,47,18,40,68,33,81,18,89,21
41,33,41,68,16,7,91,89,8,45,65
62,66,17,28,80,96,6,38,64,44,79
40,7,98,5,39,77,19,25,76,52,51
71,11,67,73,45,23,66,19,64,40,66
62,87,49,32,66,78,8,92,15,82,26
98,92,24,28,61,15,89,40,61,45,42
76,3,55,74,58,58,38,85,17,46,98
85,69,4,85,98,94,3,11,92,64,37
77,54,5,81,86,40,50,80,11,5,94
55,4,56,93,13,50,51,11,66,0,3
15,91,56,41,31,86,23,7,93,45,82
64,98,17,44,48,33,79,89,42,88,14
