"parameter","mean_rank","expected_mean_rank","chisq","df","chisq_p"
"survival_at_80",51.95,49.5,98,99,0.509520625111913
"survival_slope_20",50.155,49.5,87,99,0.800112993136375
"growth_increment_80",45.265,49.5,96,99,0.566657963740923
"growth_slope_20",51.595,49.5,79,99,0.930823684342847
"log_growth_sd",47.64,49.5,99,99,0.481096912408264
"log_recruitment_at_80",51.37,49.5,104,99,0.345784174911444
"recruitment_slope_20",48.08,49.5,105,99,0.320877680651906
"recruit_mean_80",51.605,49.5,102,99,0.398061860692058
"recruit_mean_slope_20",48.44,49.5,105,99,0.320877680651906
"log_recruit_sd",49.74,49.5,117,99,0.104611066589086
"log_process_precision",44.455,49.5,132,99,0.0149236215347439
