"survival_at_80","survival_slope_20","growth_increment_80","growth_slope_20","log_growth_sd","log_recruitment_at_80","recruitment_slope_20","recruit_mean_80","recruit_mean_slope_20","log_recruit_sd","log_process_precision"
90,90,4,11,96,0,99,10,87,60,35
53,2,47,87,31,57,3,55,96,1,53
48,58,42,22,81,0,99,0,99,98,97
49,55,64,85,44,80,83,97,98,50,11
30,15,78,90,7,94,6,62,20,4,38
17,3,89,87,42,10,69,3,59,33,70
41,0,99,98,0,84,99,99,95,21,99
96,99,0,0,93,36,84,42,52,97,40
44,94,0,37,96,19,85,76,34,11,97
19,91,27,50,0,41,41,0,22,40,8
17,19,94,69,14,26,31,31,32,64,72
0,26,66,29,94,10,8,99,99,99,32
95,3,0,38,1,16,84,36,53,41,4
19,99,2,90,24,99,15,97,6,99,99
37,13,54,62,13,99,0,99,0,1,72
9,15,77,92,70,45,36,19,77,62,27
54,69,18,24,71,88,88,32,81,12,59
48,21,99,0,18,25,14,62,84,61,68
75,23,94,28,88,86,19,17,97,3,64
99,99,0,0,64,76,49,20,45,86,37
63,44,42,45,69,15,15,8,3,84,8
77,1,99,0,95,0,99,0,99,98,99
14,27,62,60,89,48,57,42,69,2,70
95,83,62,26,72,49,98,87,73,51,5
50,39,74,32,42,90,8,93,5,74,0
79,76,27,35,19,55,36,40,65,63,81
87,42,17,33,82,0,99,51,45,68,38
84,39,26,66,70,6,8,59,67,90,17
23,8,62,8,80,0,99,0,99,23,98
2,87,99,0,49,98,67,28,60,9,37
6,97,0,99,59,83,17,18,32,45,5
64,61,65,8,98,15,67,90,21,59,90
44,65,15,14,69,34,54,64,31,58,81
13,75,35,66,48,49,58,53,45,60,74
99,85,57,67,76,43,41,91,91,78,67
20,66,69,32,61,28,77,69,75,11,92
3,97,6,87,19,97,31,97,67,77,92
93,74,68,34,28,3,95,87,14,16,16
56,2,67,23,91,10,86,5,88,12,29
93,97,26,48,61,0,99,95,0,85,99
51,50,0,0,58,72,65,23,15,29,16
0,99,0,0,99,84,0,0,99,99,99
19,61,48,46,52,58,42,57,26,73,56
73,58,29,35,50,65,76,86,98,94,7
50,70,40,15,55,24,20,59,74,86,12
94,80,10,89,69,35,49,59,35,9,32
10,92,35,61,0,7,8,14,14,82,11
70,93,38,51,72,97,2,83,21,90,26
42,64,18,29,63,5,7,79,82,56,52
