"parameter","mean_rank","expected_mean_rank","chisq","df","chisq_p"
"survival_at_80",52.3787878787879,49.5,99.979797979798,99,0.453523256624276
"survival_slope_20",54.1262626262626,49.5,124.222222222222,99,0.0440066587332235
"growth_increment_80",44.5808080808081,49.5,293.919191919192,99,3.30593830538039e-21
"growth_slope_20",51.8585858585859,49.5,268.666666666667,99,1.35071861679914e-17
"log_growth_sd",47.7171717171717,49.5,124.222222222222,99,0.0440066587332235
"log_recruitment_at_80",45.1363636363636,49.5,319.171717171717,99,5.69830926868693e-25
"recruitment_slope_20",47.8282828282828,49.5,350.484848484848,99,8.15121596710444e-30
"recruit_mean_80",50.0353535353535,49.5,214.121212121212,99,1.81792068743129e-10
"recruit_mean_slope_20",48.0808080808081,49.5,223.212121212121,99,1.40503454642024e-11
"log_recruit_sd",45.0757575757576,49.5,150.484848484848,99,0.00065784759676107
"log_process_precision",50.7272727272727,49.5,183.818181818182,99,4.84190065697288e-07
