"truth_name","borrowing","bias_multiplier","datasets","rmse_ratio_to_profiles_only","rmse_ratio_q025","rmse_ratio_q975","coverage_at_80","coverage_q025","coverage_q975","weak_coverage_at_80","mean_robust_weight"
"baseline","full",0,9,0.463456097902225,0.301842191426497,0.60559582369361,0.666666666666667,0.29929505620854,0.925145368580308,0.444444444444444,NA
"flatter_fecundity","full",0,10,0.256073677468141,0.186151215546276,0.339137002397536,1,0.691502892181239,1,1,NA
"low_survival","full",0,10,0.291784556612482,0.153737162833501,0.616052185944232,0.9,0.554983882971805,0.997471421455538,0.5,NA
"baseline","robust",0,9,0.78437544122937,0.599456887053728,0.915446460821138,0.666666666666667,0.29929505620854,0.925145368580308,0.444444444444444,0.608390964596436
"flatter_fecundity","robust",0,10,0.363971108403665,0.197677343662629,0.569663887178261,1,0.691502892181239,1,1,0.910793204934781
"low_survival","robust",0,10,0.830411844245893,0.527401263067215,0.952588344090172,0.7,0.347547149940003,0.933260488822266,0.5,0.552333046432263
"baseline","full",0.25,9,0.472858110976452,0.345351049867965,0.580435473478805,0.333333333333333,0.0748546314196918,0.70070494379146,0.444444444444444,NA
"flatter_fecundity","full",0.25,10,0.660613987942682,0.436980522495946,1.02286360017026,0.8,0.443904537692359,0.974789273673167,1,NA
"low_survival","full",0.25,10,0.278088184009908,0.152800402928955,0.559364677818464,0.3,0.0667395111777345,0.652452850059997,0.5,NA
"baseline","robust",0.25,9,0.774638526261497,0.590781578699267,0.901821085577278,0.333333333333333,0.0748546314196918,0.70070494379146,0.444444444444444,0.58842460037461
"flatter_fecundity","robust",0.25,10,0.673303982303953,0.471697874789214,0.99029369747286,0.9,0.554983882971805,0.997471421455538,1,0.93685064996781
"low_survival","robust",0.25,10,0.802825460536719,0.477946110690907,0.944881862454983,0.4,0.121552258119827,0.737621923393055,0.5,0.738258865517492
"baseline","full",0.5,9,0.419342135892616,0.28682836909174,0.570280021410956,0,0,0.336267116879943,0.444444444444444,NA
"flatter_fecundity","full",0.5,10,0.698566832888333,0.478189239305705,1.03423858714295,0.1,0.00252857854446179,0.445016117028195,1,NA
"low_survival","full",0.5,10,0.301113917380683,0.177910297325425,0.599122892753904,0.2,0.0252107263268334,0.556095462307642,0.5,NA
"baseline","robust",0.5,9,0.887663122308913,0.755297916239247,0.96510493151011,0.333333333333333,0.0748546314196918,0.70070494379146,0.444444444444444,0.447852195751609
"flatter_fecundity","robust",0.5,10,0.720720944082798,0.505450435978955,0.931322508813012,1,0.691502892181239,1,1,0.622953579353535
"low_survival","robust",0.5,10,0.820463338605208,0.510114386290734,0.950982305278023,0.5,0.187086028447399,0.812913971552601,0.5,0.676537670239356
"baseline","full",0.75,9,0.459132394829101,0.332712007243867,0.609730987791018,0,0,0.336267116879943,0.444444444444444,NA
"flatter_fecundity","full",0.75,10,0.906109148409877,0.70184163450048,1.26529758988312,0,0,0.308497107818761,1,NA
"low_survival","full",0.75,10,0.328732234646384,0.195050240805243,0.656274233345226,0,0,0.308497107818761,0.5,NA
"baseline","robust",0.75,9,0.747355534966484,0.553196632992735,0.935228590433951,0.333333333333333,0.0748546314196918,0.70070494379146,0.444444444444444,0.593779495892465
"flatter_fecundity","robust",0.75,10,0.892419057506196,0.806085866265394,0.979829086573653,1,0.691502892181239,1,1,0.445597787739093
"low_survival","robust",0.75,10,0.839595718659842,0.563884275360352,0.976280968255105,0.2,0.0252107263268334,0.556095462307642,0.5,0.698538977295064
"baseline","full",1,9,0.489369218747553,0.388008708376243,0.636860827440862,0,0,0.336267116879943,0.444444444444444,NA
"flatter_fecundity","full",1,10,1.19123222193673,0.798350419868257,1.86211781076422,0,0,0.308497107818761,1,NA
"low_survival","full",1,10,0.4251897855862,0.242847073346498,0.924513243686472,0,0,0.308497107818761,0.5,NA
"baseline","robust",1,9,0.842820365032898,0.696394807343476,0.955870901323891,0.333333333333333,0.0748546314196918,0.70070494379146,0.444444444444444,0.555432528084839
"flatter_fecundity","robust",1,10,0.987720604320502,0.938916226959182,1.02783759893439,1,0.691502892181239,1,1,0.0434329367743916
"low_survival","robust",1,10,0.905585018435834,0.699431861331691,1.06385006052634,0.2,0.0252107263268334,0.556095462307642,0.5,0.670476785484512
"baseline","full",1.5,9,0.655587502455743,0.516224559210028,0.947684424765929,0,0,0.336267116879943,0.444444444444444,NA
"flatter_fecundity","full",1.5,10,2.00166079620323,1.35325891041933,3.21273254402184,0,0,0.308497107818761,1,NA
"low_survival","full",1.5,10,0.575812127208492,0.343027051189378,1.2038741797892,0,0,0.308497107818761,0.5,NA
"baseline","robust",1.5,9,0.909381214589038,0.728161365840356,1.13710259173383,0.222222222222222,0.0281449734778982,0.600093573716312,0.444444444444444,0.643127692927663
"flatter_fecundity","robust",1.5,10,0.997199634329598,0.974210321591916,1.02490379748452,1,0.691502892181239,1,1,3.77117250697498e-09
"low_survival","robust",1.5,10,0.967446371067901,0.77879732528906,1.20438276295951,0.4,0.121552258119827,0.737621923393055,0.5,0.589243110785628
