"truth_name","replicate","data_id"
"baseline",1,1
"low_survival",1,2
"flatter_fecundity",1,3
"baseline",2,4
"low_survival",2,5
"flatter_fecundity",2,6
"baseline",3,7
"low_survival",3,8
"flatter_fecundity",3,9
"baseline",4,10
"low_survival",4,11
"flatter_fecundity",4,12
"baseline",5,13
"low_survival",5,14
"flatter_fecundity",5,15
"baseline",6,16
"low_survival",6,17
"flatter_fecundity",6,18
"baseline",7,19
"low_survival",7,20
"flatter_fecundity",7,21
"baseline",8,22
"low_survival",8,23
"flatter_fecundity",8,24
"baseline",9,25
"low_survival",9,26
"flatter_fecundity",9,27
"baseline",10,28
"low_survival",10,29
"flatter_fecundity",10,30
