"borrowing","bias_multiplier","datasets","rmse_ratio_to_profiles_only","coverage_at_80","mean_robust_weight"
"full",0,29,0.355849452448709,0.862068965517241,NA
"robust",0,29,0.762396307495644,0.793103448275862,0.69333728258753
"full",0.25,29,0.395951091155566,0.482758620689655,NA
"robust",0.25,29,0.777848352017324,0.551724137931034,0.760238502007742
"full",0.5,29,0.390306503905218,0.103448275862069,NA
"robust",0.5,29,0.836382160601527,0.620689655172414,0.587089043368738
"full",0.75,29,0.441952294622643,0,NA
"robust",0.75,29,0.808765322638406,0.517241379310345,0.578806314254267
"full",1,29,0.532374551945371,0,NA
"robust",1,29,0.889539545553695,0.517241379310345,0.418551378460434
"full",1.5,29,0.759626509263175,0,NA
"robust",1.5,29,0.947664978779902,0.551724137931034,0.402778633859206
