"truth_name","borrowing","bias_multiplier","datasets","rmse_ratio_to_profiles_only","rmse_ratio_q025","rmse_ratio_q975","coverage_at_80","coverage_q025","coverage_q975","weak_coverage_at_80","mean_robust_weight"
"baseline","full",0,28,0.359978545300187,0.233019077640299,0.50022027667928,0.857142857142857,0.673347330684205,0.959664369202909,0.5,NA
"flatter_fecundity","full",0,30,0.36440412860057,0.280664870502352,0.493090370248576,1,0.884296691777972,1,0.966666666666667,NA
"low_survival","full",0,29,0.269555896105258,0.189448367328173,0.398282672302309,0.931034482758621,0.772338110055514,0.991536037746998,0.517241379310345,NA
"baseline","robust",0,28,0.755176062927771,0.62461992570381,0.854435762249541,0.785714285714286,0.590468973494172,0.917039387612361,0.5,0.662366586898732
"flatter_fecundity","robust",0,30,0.413159163474903,0.308544775690232,0.550154063958325,1,0.884296691777972,1,0.966666666666667,0.960854263291308
"low_survival","robust",0,29,0.751631201518794,0.574228310372818,0.870122835354034,0.758620689655172,0.564599654011467,0.897016449227383,0.517241379310345,0.628734250572851
"baseline","full",0.25,29,0.366089910185864,0.261772825923754,0.479397041139621,0.551724137931034,0.356938710803914,0.735544696293295,0.482758620689655,NA
"flatter_fecundity","full",0.25,30,0.591393205951564,0.463380646310629,0.763687708759303,0.833333333333333,0.652788301165856,0.943578303531929,0.966666666666667,NA
"low_survival","full",0.25,29,0.249559222394199,0.165490430733904,0.387168297932776,0.517241379310345,0.325314996361456,0.705514417048159,0.482758620689655,NA
"baseline","robust",0.25,29,0.748707729074284,0.615741738872196,0.847372902641609,0.586206896551724,0.389362791396906,0.764759790247102,0.482758620689655,0.683285556886614
"flatter_fecundity","robust",0.25,30,0.576617805476513,0.461194032896079,0.727340327511967,0.9,0.734711549525792,0.978882862970277,0.966666666666667,0.911872645148943
"low_survival","robust",0.25,29,0.760443280231473,0.585743741178976,0.87534731672533,0.482758620689655,0.294485582951841,0.674685003638544,0.482758620689655,0.703580270122929
"baseline","full",0.5,29,0.378058487393446,0.269541325839629,0.506808207152831,0.103448275862069,0.0218637368298536,0.273515197892423,0.482758620689655,NA
"flatter_fecundity","full",0.5,30,0.777252393135146,0.63492548321086,0.983231559911383,0.1,0.0211171370297226,0.265288450474208,0.966666666666667,NA
"low_survival","full",0.5,30,0.358082505710834,0.25468058440248,0.526539573363932,0.166666666666667,0.0564216964680715,0.347211698834144,0.5,NA
"baseline","robust",0.5,29,0.806105111398557,0.692861679640114,0.88685927775144,0.310344827586207,0.152845939608632,0.50832335380999,0.482758620689655,0.649455256596618
"flatter_fecundity","robust",0.5,30,0.755089413222015,0.62350028677218,0.918695501398788,0.6,0.406034930051819,0.773442351171406,0.966666666666667,0.802409614480332
"low_survival","robust",0.5,30,0.794260539166741,0.648791290847357,0.891538311877555,0.333333333333333,0.172874221526039,0.52812004478988,0.5,0.715926502840805
"baseline","full",0.75,29,0.445970164674512,0.315290010710068,0.605392377769944,0,0,0.119444869069503,0.482758620689655,NA
"flatter_fecundity","full",0.75,30,0.972501250579077,0.8268430553075,1.18111633850716,0,0,0.115703308222028,0.966666666666667,NA
"low_survival","full",0.75,30,0.364858930912893,0.264366340189979,0.525512103228346,0,0,0.115703308222028,0.5,NA
"baseline","robust",0.75,29,0.79353090424911,0.677002046012252,0.8928245298885,0.275862068965517,0.12734011410223,0.472384482430034,0.482758620689655,0.727437163729035
"flatter_fecundity","robust",0.75,30,0.944493819831099,0.836031790805119,1.07588467072074,0.666666666666667,0.47187995521012,0.827125778473961,0.966666666666667,0.569041242160295
"low_survival","robust",0.75,30,0.816206912767943,0.677291213853481,0.911835660273398,0.166666666666667,0.0564216964680715,0.347211698834144,0.5,0.723497195842784
"baseline","full",1,29,0.496738957972235,0.395963334224269,0.638484967638415,0,0,0.119444869069503,0.482758620689655,NA
"flatter_fecundity","full",1,29,1.30403433701608,1.04053058406534,1.67206911227937,0,0,0.119444869069503,0.96551724137931,NA
"low_survival","full",1,30,0.409228108063814,0.293156779255562,0.600973137912072,0,0,0.115703308222028,0.5,NA
"baseline","robust",1,29,0.838317481093291,0.734715313150143,0.921794397956944,0.275862068965517,0.12734011410223,0.472384482430034,0.482758620689655,0.683624753178965
"flatter_fecundity","robust",1,29,1.00583106865368,0.960668777929681,1.06567794795495,0.896551724137931,0.726484802107577,0.978136263170146,0.96551724137931,0.167812342156361
"low_survival","robust",1,30,0.821076537076259,0.678722896452676,0.924849255566346,0.2,0.0771355120010656,0.385666510996607,0.5,0.725646341825791
"baseline","full",1.5,29,0.684214260325747,0.497065119279415,0.955125130607041,0,0,0.119444869069503,0.482758620689655,NA
"flatter_fecundity","full",1.5,30,2.29853045755961,1.83623382956592,2.94809953675273,0,0,0.115703308222028,0.966666666666667,NA
"low_survival","full",1.5,30,0.610764013792846,0.434564038184172,0.879859481839846,0,0,0.115703308222028,0.5,NA
"baseline","robust",1.5,29,0.967634159637099,0.863301553935698,1.07917159194957,0.275862068965517,0.12734011410223,0.472384482430034,0.482758620689655,0.667977791516679
"flatter_fecundity","robust",1.5,30,0.995792357454408,0.979842236310815,1.01135001405268,0.966666666666667,0.827830544366587,0.99915642907337,0.966666666666667,7.34158450690217e-05
"low_survival","robust",1.5,30,0.902470266038273,0.786478715320138,1.024459144408,0.333333333333333,0.172874221526039,0.52812004478988,0.5,0.705700284745802
