"truth_name","replicate","data_id"
"baseline",1,1
"low_survival",1,2
"flatter_fecundity",1,3
"baseline",2,4
"low_survival",2,5
"flatter_fecundity",2,6
"baseline",3,7
"low_survival",3,8
"flatter_fecundity",3,9
"baseline",4,10
"low_survival",4,11
"flatter_fecundity",4,12
"baseline",5,13
"low_survival",5,14
"flatter_fecundity",5,15
"baseline",6,16
"low_survival",6,17
"flatter_fecundity",6,18
"baseline",7,19
"low_survival",7,20
"flatter_fecundity",7,21
"baseline",8,22
"low_survival",8,23
"flatter_fecundity",8,24
"baseline",9,25
"low_survival",9,26
"flatter_fecundity",9,27
"baseline",10,28
"low_survival",10,29
"flatter_fecundity",10,30
"baseline",11,31
"low_survival",11,32
"flatter_fecundity",11,33
"baseline",12,34
"low_survival",12,35
"flatter_fecundity",12,36
"baseline",13,37
"low_survival",13,38
"flatter_fecundity",13,39
"baseline",14,40
"low_survival",14,41
"flatter_fecundity",14,42
"baseline",15,43
"low_survival",15,44
"flatter_fecundity",15,45
"baseline",16,46
"low_survival",16,47
"flatter_fecundity",16,48
"baseline",17,49
"low_survival",17,50
"flatter_fecundity",17,51
"baseline",18,52
"low_survival",18,53
"flatter_fecundity",18,54
"baseline",19,55
"low_survival",19,56
"flatter_fecundity",19,57
"baseline",20,58
"low_survival",20,59
"flatter_fecundity",20,60
"baseline",21,61
"low_survival",21,62
"flatter_fecundity",21,63
"baseline",22,64
"low_survival",22,65
"flatter_fecundity",22,66
"baseline",23,67
"low_survival",23,68
"flatter_fecundity",23,69
"baseline",24,70
"low_survival",24,71
"flatter_fecundity",24,72
"baseline",25,73
"low_survival",25,74
"flatter_fecundity",25,75
"baseline",26,76
"low_survival",26,77
"flatter_fecundity",26,78
"baseline",27,79
"low_survival",27,80
"flatter_fecundity",27,81
"baseline",28,82
"low_survival",28,83
"flatter_fecundity",28,84
"baseline",29,85
"low_survival",29,86
"flatter_fecundity",29,87
"baseline",30,88
"low_survival",30,89
"flatter_fecundity",30,90
