"truth_name","borrowing","bias_multiplier","replicate","curve_rmse","coverage_at_80","width_at_80","robust_weight"
"baseline","full",0,1,0.103666456603461,TRUE,0.0791708418420113,NA
"baseline","full",0,10,0.0429996381361687,TRUE,0.06277678051664,NA
"baseline","full",0,11,0.0673431952914104,TRUE,0.07918702153776,NA
"baseline","full",0,12,0.0750749018073532,TRUE,0.0686529713180468,NA
"baseline","full",0,14,0.0353988555047703,TRUE,0.0657488106369072,NA
"baseline","full",0,15,0.0347592426592362,TRUE,0.0779598202022911,NA
"baseline","full",0,16,0.0215023300198243,TRUE,0.0774196188212503,NA
"baseline","full",0,17,0.115790198938422,FALSE,0.0808445297360685,NA
"baseline","full",0,18,0.0361862488125818,TRUE,0.075297676131002,NA
"baseline","full",0,19,0.0508615910397168,TRUE,0.0653893782981238,NA
"baseline","full",0,2,0.0479063792683433,FALSE,0.0853635064502176,NA
"baseline","full",0,20,0.0631562660207031,TRUE,0.0645639942820721,NA
"baseline","full",0,21,0.0303995790283602,TRUE,0.0733258347205231,NA
"baseline","full",0,22,0.0245123111144078,TRUE,0.0772800670870009,NA
"baseline","full",0,23,0.00677735339662945,TRUE,0.0666397974445388,NA
"baseline","full",0,24,0.049320848919977,TRUE,0.0630169298312155,NA
"baseline","full",0,25,0.107516997820191,TRUE,0.0772446844390411,NA
"baseline","full",0,26,0.0494083536524477,TRUE,0.0787684795690774,NA
"baseline","full",0,27,0.148790158640165,TRUE,0.0665528048611355,NA
"baseline","full",0,28,0.076045849429094,TRUE,0.063437520841555,NA
"baseline","full",0,29,0.0861567201688198,TRUE,0.0652330463967203,NA
"baseline","full",0,3,0.259349340069697,TRUE,0.0672020100784886,NA
"baseline","full",0,30,0.0283179567607432,TRUE,0.0669634226205377,NA
"baseline","full",0,4,0.139915864469745,TRUE,0.0606538269251444,NA
"baseline","full",0,5,0.0434304495480333,FALSE,0.0695840466463735,NA
"baseline","full",0,6,0.0623407633126127,TRUE,0.0614023748313565,NA
"baseline","full",0,7,0.0538620988520869,TRUE,0.0737043534349236,NA
"baseline","full",0,8,0.0195117466791773,TRUE,0.0740516376726699,NA
"baseline","full",0,9,0.228735105531996,FALSE,0.0696689019833201,NA
