"borrowing","bias_multiplier","datasets","rmse_ratio_to_profiles_only","coverage_at_80","mean_robust_weight"
"full",0,87,0.316277358867951,0.931034482758621,NA
"robust",0,87,0.71682637943738,0.850574712643678,0.754082593086395
"full",0.25,88,0.332686794793042,0.636363636363636,NA
"robust",0.25,88,0.736899913895712,0.659090909090909,0.767901003838012
"full",0.5,89,0.40849566782561,0.123595505617978,NA
"robust",0.5,89,0.795195210143709,0.415730337078652,0.723418943381304
"full",0.75,89,0.459414079462816,0,NA
"robust",0.75,89,0.819781481441397,0.370786516853933,0.672717200991398
"full",1,88,0.531060460571951,0,NA
"robust",1,88,0.845889049585879,0.454545454545455,0.527966659312479
"full",1.5,89,0.810875161531276,0,NA
"robust",1.5,89,0.938694550737853,0.528089887640449,0.455556932266402
