"","dir1","dir2","dir3","dir4","dir5","dir6","dir7","dir8","dir9","dir10","dir11"
"survival_at_80",-0.055,0.01,-0.285,0.015,0.924,-0.223,0.02,0.003,0.107,-0.031,-0.002
"survival_slope_20",-0.327,-0.204,-0.874,0.051,-0.259,0.113,-0.056,0.049,0.003,-0.002,-0.002
"growth_increment_80",0,-0.001,-0.03,0.001,-0.071,-0.341,0.121,0.056,0.068,0.925,0.016
"growth_slope_20",0,-0.001,-0.037,0.004,-0.239,-0.865,0.137,0.194,0.026,-0.369,-0.006
"log_growth_sd",-0.002,-0.009,0.01,0.006,-0.032,-0.249,-0.857,-0.446,-0.028,0.048,0.006
"log_recruitment_at_80",-0.106,0.105,0.015,0.008,0.099,-0.019,-0.176,0.404,-0.875,0.063,0.056
"recruitment_slope_20",-0.677,0.715,0.092,0.002,-0.035,0.001,0.027,-0.068,0.128,-0.007,-0.008
"recruit_mean_80",-0.006,-0.006,-0.009,0,0.004,-0.022,0.067,-0.12,-0.129,0.017,-0.982
"recruit_mean_slope_20",-0.036,-0.036,-0.063,0,-0.003,-0.101,0.438,-0.758,-0.427,-0.023,0.182
"log_recruit_sd",-0.648,-0.66,0.37,-0.031,0.073,-0.029,0.005,0.024,0.024,0.002,-0.001
"log_process_precision",-0.001,-0.013,0.06,0.998,0.002,0.002,0.009,-0.003,0.006,0,0
