"direction","eigenvalue","prior_sd_dir","post_sd_dir","contraction"
1,2017563.8955001,0.900452578556354,0.000704021980300479,0.99921814652202
2,6673.68396913973,0.894600696831924,0.0122398622118728,0.986318072124001
3,285.053086618838,1.05108397798094,0.059135556421389,0.943738504572219
4,181.981800725453,1.99706599226005,0.0740776234132205,0.962906772384929
5,11.0064713896028,1.64613367693351,0.296493102295798,0.81988516093777
6,5.1246957709742,3.33863911609938,0.437922656379304,0.868831987779817
7,3.61311772084931,1.53366859308001,0.497625608464809,0.675532503755947
8,2.88139782426248,2.15858690565671,0.568327400569559,0.73671321776287
9,0.622237288401139,2.08361670069872,1.08301332159187,0.480224303621348
10,0.300185400029906,5.66264618215072,1.73717039467326,0.693222861045247
11,0,9.82348717556939,9.82348717556939,0
